FileFormat,CSV
Year,2019
Month,07
Day,14
Hour,13
Minute,24
Second,57
Pressure,,"units=mb"
Temperature,,"units=deg C"
RH,,"units=%"
Speed,,"units=m/s"
Direction,,"units=deg"
Latitude,,"units=deg"
Longitude,,"units=deg"
Altitude,,"units=m"
GpsAltitude,,"units=m"
Ascending,"true"
Comments,""
DataType,""
EquipmentType,"0"
PlatformType,""
PlatformId,""
Project,""
Flight,""
PtuWindTimeDiff,"0"
RadiationCorr,"0"
TrackingType,"19"
SondeId,""
SondeModel,""
Operator,""
LaunchObsSource,"unknown"
LaunchObsTime,"unknown"
SvnRevision,"V3.4.6"
SvnLastChangedDate,"Fri Apr 30 16:17:27 2021 -0600"
Agency,""
AltInterpSpan,"60"
AspenVersion,"Aspen V3.4.6"
BlendLength,"4"
CabinTemp,"25"
ChuteArea,"676"
ConfigSetName,"internal"
DatasetDOI,""
DiscardBadCrcData,"1"
DoQC,"1"
DragCoef,"0.61"
DropSondeMass,"400"
DropsondeHitSfc,"1"
Flight,""
GPSAltBuddySlope,"50"
GPSAltQCDev,"50"
GPSAltQCWL,"30"
GPSPosBuddySlope,"0.001"
GPSPosQCDev,"20"
GPSPosQCWL,"30"
IgnoreLaunchAlt,"0"
IgnoreLaunchLat,"0"
IgnoreLaunchLon,"0"
IgnoreLaunchPres,"0"
IgnoreLaunchRH,"0"
IgnoreLaunchTdry,"0"
IgnoreLaunchWdir,"0"
IgnoreLaunchWspd,"0"
ObsNum,"99"
PlatformId,""
PlatformType,""
PosInterpSpan,"60"
PresBuddySlope,"1.5"
PresEquilTimeOverride,"0"
PresMonoCheck,"1"
PresOffset,"0"
PresOutlier,"999"
PresQCDev,"1.5"
PresQCWL,"30"
PresSmoothWL,"10"
ProcessingTime,"21 Jun 2021 02:52 UTC"
Project,""
QCDisclaimer,""
RHBuddySlope,"3"
RHEquilTimeOverride,"0"
RHOffset,"0"
RHOutlier,"999"
RHQCDev,"20"
RHQCWL,"20"
RHSmoothWL,"10"
RHThreshold,"0"
RHchoice,"0"
ReportObservedPos,"1"
SetHtsMissing,"0"
SfcAltOverride,"0"
SfcAltUnknown,"0"
SfcAltitude,"-999"
SondeId,""
SoundingDescription,"L3pr.csv "
TdryBuddySlope,"0.5"
TdryDynCor,"1"
TdryDynCorWL,"20"
TdryEquilTimeOverride,"0"
TdryOffset,"0"
TdryOutlier,"999"
TdryQCDev,"0.8"
TdryQCWL,"20"
TdrySmoothWL,"10"
UseIgnoredLaunch,"1"
UseTheoryVentRate,"0"
WindBuddySlope,"1.5"
WindDisableW,"0"
WindDynCor,"1"
WindDynCorWL,"10"
WindEquilTime,"10"
WindErrorHigh,"999"
WindErrorLow,"999"
WindOutlier,"999"
WindQCDev,"999"
WindQCWL,"10"
WindSats,"0"
WindSmoothWL,"10"
WindVVPresWL,"5"
WindVVdelta,"2.5"
Fields,Time,Pressure,Temperature,RH,Speed,Direction,Latitude,Longitude,Altitude,GPS Altitude,Dewpoint,Uwnd,Vwnd,Ascent
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m,m,deg C,m/s,m/s,m/s
Data,0.0,1004.62,36.41,54.78,0.35,31.11,,,,,26.11,-0.18,-0.30,1.47
Data,1.0,1004.52,36.42,54.63,0.71,91.45,,,,,26.08,-0.71,0.02,1.52
Data,10.0,1001.62,36.22,54.23,7.37,150.80,,,,,25.77,-3.60,6.44,5.13
Data,11.0,1001.05,36.17,54.26,,,,,,,25.74,,,5.87
Data,12.0,1000.38,36.11,54.32,,,,,,,25.70,,,6.65
Data,13.0,999.62,36.04,54.39,8.86,195.62,,,,,25.65,2.39,8.53,7.47
Data,14.0,998.77,35.96,54.48,8.94,203.58,,,,,25.60,3.58,8.20,8.16
Data,15.0,997.84,35.86,54.58,7.72,208.06,,,,,25.55,3.63,6.81,8.54
Data,16.0,996.85,35.76,54.70,5.64,211.57,,,,,25.49,2.95,4.81,8.61
Data,17.0,995.87,35.65,54.82,3.85,218.13,,,,,25.43,2.38,3.03,8.32
Data,19.0,994.15,35.45,55.05,,,,,,,25.31,,,7.51
Data,20.0,993.41,35.36,55.19,3.31,231.95,,,,,25.26,2.61,2.04,7.49
Data,21.0,992.66,35.27,55.35,,,,,,,25.22,,,7.93
Data,22.0,991.81,35.16,55.57,4.92,242.86,,,,,25.19,4.38,2.25,8.83
Data,23.0,990.80,35.05,55.84,6.41,251.96,,,,,25.16,6.09,1.99,9.71
Data,24.0,989.65,34.92,56.15,8.45,257.02,,,,,25.13,8.23,1.90,10.39
Data,25.0,988.41,34.78,56.45,,,,,,,25.09,,,10.47
Data,26.0,987.23,34.64,56.74,10.71,257.32,,,,,25.04,10.45,2.35,9.69
Data,27.0,986.23,34.51,56.99,9.34,253.51,,,,,24.99,8.96,2.65,8.46
Data,28.0,985.42,34.38,57.22,7.26,247.67,,,,,24.94,6.72,2.76,7.16
Data,30.0,984.23,34.16,57.65,4.02,249.80,,,,,24.85,3.77,1.39,5.34
Data,31.0,983.69,34.05,57.90,3.96,274.75,,,,,24.81,3.94,-0.33,5.11
Data,32.0,983.13,33.94,58.17,5.59,292.99,,,,,24.79,5.15,-2.18,5.06
Data,34.0,981.99,33.76,58.74,8.82,289.66,,,,,24.78,8.31,-2.97,5.25
Data,35.0,981.41,33.69,59.01,,,,,,,24.79,,,5.35
Data,36.0,980.82,33.61,59.27,9.05,264.29,,,,,24.79,9.01,0.90,5.46
Data,37.0,980.23,33.53,59.51,8.66,247.76,,,,,24.78,8.02,3.28,5.60
Data,38.0,979.63,33.46,59.72,8.10,235.69,,,,,24.77,6.69,4.56,5.81
Data,40.0,978.35,33.30,60.12,6.51,226.87,,,,,24.73,4.75,4.45,6.45
Data,42.0,976.88,33.12,60.60,6.40,233.37,,,,,24.69,5.14,3.82,6.65
Data,43.0,976.13,33.02,60.88,6.76,235.48,,,,,24.67,5.57,3.83,6.33
Data,44.0,975.46,32.93,61.15,6.89,237.56,,,,,24.65,5.82,3.70,5.80
Data,46.0,974.34,32.79,61.63,6.09,247.81,,,,,24.65,5.64,2.30,5.21
Data,47.0,973.81,32.75,61.83,6.55,252.67,,,,,24.66,6.25,1.95,5.33
Data,48.0,973.24,32.70,62.01,7.90,254.26,,,,,24.67,7.61,2.14,5.76
Data,49.0,972.59,32.65,62.17,9.50,254.36,,,,,24.66,9.15,2.56,6.32
Data,50.0,971.88,32.59,62.32,10.76,254.33,,,,,24.64,10.36,2.91,6.95
Data,51.0,971.10,32.52,62.48,11.31,254.75,,,,,24.62,10.91,2.97,7.45
Data,52.0,970.27,32.44,62.65,10.66,256.05,,,,,24.59,10.35,2.57,7.72
Data,53.0,969.41,32.35,62.82,9.10,257.17,,,,,24.55,8.87,2.02,7.68
Data,54.0,968.57,32.26,63.00,7.37,254.83,,,,,24.50,7.12,1.93,7.26
Data,55.0,967.81,32.16,63.17,6.19,245.90,,,,,24.46,5.65,2.53,6.61
Data,57.0,966.57,31.99,63.52,6.67,224.07,,,,,24.39,4.64,4.79,5.60
Data,58.0,966.02,31.92,63.70,7.59,217.93,,,,,24.36,4.66,5.98,5.42
Data,59.0,965.46,31.85,63.90,8.14,212.34,,,,,24.34,4.35,6.88,5.46
Data,60.0,964.85,31.77,64.09,8.29,206.67,,,,,24.32,3.72,7.41,5.52
Data,61.0,964.23,31.69,64.28,8.14,201.16,,,,,24.29,2.94,7.59,5.55
Data,62.0,963.61,31.61,64.44,7.82,195.62,,,,,24.26,2.11,7.53,5.53
Data,63.0,963.03,31.53,64.60,7.59,190.53,,,,,24.22,1.39,7.46,5.46
Data,64.0,962.46,31.45,64.75,7.64,187.58,,,,,24.18,1.01,7.57,5.45
Data,65.0,961.90,31.36,64.94,7.94,188.22,,,,,24.15,1.14,7.85,5.58
Data,66.0,961.30,31.29,65.18,8.47,193.11,,,,,24.14,1.92,8.25,5.80
Data,67.0,960.66,31.22,65.47,9.07,200.43,,,,,24.14,3.16,8.50,6.10
Data,68.0,959.98,31.16,65.76,9.46,208.75,,,,,24.16,4.55,8.30,6.43
Data,69.0,959.27,31.10,66.03,9.53,217.42,,,,,24.17,5.79,7.57,6.76
Data,70.0,958.55,31.05,66.25,9.26,225.37,,,,,24.17,6.59,6.51,7.10
Data,71.0,957.81,30.99,66.42,8.49,231.49,,,,,24.17,6.64,5.28,7.44
Data,72.0,957.00,30.94,66.55,7.30,235.36,,,,,24.15,6.00,4.15,7.76
Data,73.0,956.14,30.88,66.65,5.86,234.75,,,,,24.12,4.79,3.38,7.84
Data,74.0,955.28,30.82,66.75,4.60,228.28,,,,,24.08,3.43,3.06,7.66
Data,76.0,953.71,30.70,67.01,4.46,215.64,,,,,24.03,2.60,3.62,6.74
Data,77.0,953.04,30.64,67.19,5.47,219.69,,,,,24.02,3.49,4.21,6.21
Data,78.0,952.43,30.59,67.37,6.97,226.91,,,,,24.01,5.09,4.76,5.80
Data,79.0,951.85,30.54,67.54,8.64,232.11,,,,,24.01,6.82,5.31,5.59
Data,80.0,951.29,30.50,67.70,10.01,234.22,,,,,24.01,8.12,5.85,5.67
Data,81.0,950.70,30.47,67.83,10.82,233.86,,,,,24.00,8.74,6.38,5.92
Data,82.0,950.05,30.43,67.96,10.85,230.87,,,,,24.00,8.42,6.85,6.16
Data,83.0,949.35,30.39,68.08,10.13,225.40,,,,,23.99,7.21,7.11,6.32
Data,84.0,948.63,30.34,68.20,8.87,218.28,,,,,23.97,5.49,6.96,6.21
Data,85.0,947.98,30.30,68.31,7.28,210.20,,,,,23.96,3.66,6.30,5.89
Data,87.0,946.85,30.20,68.54,4.39,196.88,,,,,23.92,1.27,4.20,5.76
Data,88.0,946.26,30.15,68.67,3.30,197.23,,,,,23.90,0.98,3.15,5.96
Data,89.0,945.61,30.09,68.83,2.65,206.79,,,,,23.88,1.20,2.37,6.30
Data,90.0,944.90,30.03,69.00,2.72,226.22,,,,,23.86,1.96,1.88,6.57
Data,91.0,944.17,29.96,69.17,3.64,243.97,,,,,23.84,3.27,1.60,6.67
Data,92.0,943.46,29.89,69.34,5.16,253.71,,,,,23.81,4.95,1.45,6.65
Data,93.0,942.78,29.82,69.51,6.70,258.70,,,,,23.78,6.57,1.31,6.61
Data,94.0,942.12,29.75,69.69,7.81,261.87,,,,,23.76,7.73,1.10,6.56
Data,95.0,941.45,29.68,69.89,8.33,263.78,,,,,23.74,8.28,0.90,6.54
Data,96.0,940.75,29.61,70.11,8.21,264.11,,,,,23.72,8.17,0.84,6.51
Data,97.0,940.05,29.54,70.33,7.66,262.06,,,,,23.70,7.58,1.06,6.33
Data,98.0,939.38,29.47,70.54,7.14,256.43,,,,,23.68,6.94,1.68,5.99
Data,100.0,938.21,29.34,70.91,7.21,239.25,,,,,23.64,6.20,3.69,5.22
Data,101.0,937.70,29.28,71.09,7.66,232.49,,,,,23.63,6.08,4.67,4.92
Data,102.0,937.21,29.22,71.29,8.22,227.49,,,,,23.62,6.06,5.56,4.72
Data,103.0,936.73,29.17,71.49,,,,,,,23.61,,,4.61
Data,104.0,936.25,29.11,71.71,,,,,,,23.60,,,4.58
